track_uri,track_name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:21qnJAMtzC6S5SESuqQLEK,Pump Up The Jam,Y-Generation,0.885,0.844,10,-9.225,0,0.0733,0.0147,4.49e-06,0.0494,0.715,124.602
spotify:track:0eVZhPIexAYqdwKNqSp3Qm,All Outta Angst,Y-Generation,0.637,0.969,0,-4.682,1,0.0432,0.00473,0.00148,0.0428,0.94,100.26
spotify:track:0EQknhinIfbJ12hwMGjOY5,Walkin' On The Sun,Y-Generation,0.735,0.974,6,-4.636,1,0.0318,0.43,0.0,0.145,0.967,123.29
spotify:track:5KuuCvS8wK8euQUmH0Zfox,54,Y-Generation,0.793,0.681,6,-6.562,0,0.0477,0.0215,0.000612,0.0863,0.792,111.011
spotify:track:1VuBmEauSZywQVtqbxNqka,Beautiful Day,Y-Generation,0.539,0.926,2,-6.495,1,0.0499,0.014,0.00136,0.36,0.454,136.279
spotify:track:3BsaRV5QIulYz2lV9WWa8T,Show Me the Meaning of Being Lonely,Y-Generation,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998
spotify:track:2FasYCxo2yAPDnIkoRp7SS,Dil Hai Ke Manta Nahin,Y-Generation,0.499,0.534,8,-9.081,1,0.0316,0.877,0.00282,0.195,0.717,117.524
spotify:track:6NUiDZQALrNiDfqDB6ZBaF,Sunny Came Home,Y-Generation,0.554,0.566,11,-8.05,0,0.0332,0.33,0.01,0.0943,0.418,167.88
spotify:track:6umdvJ1taGpobp2usoOkxX,Pichakappoomkaavukalkkum,Y-Generation,0.788,0.844,0,-5.179,1,0.263,0.682,8.03e-05,0.151,0.917,81.7
spotify:track:36tOpYpo1omPwIab8ebEkW,Humpin' Around,Y-Generation,0.71,0.8,1,-7.141,1,0.04,0.00223,0.211,0.0455,0.61,110.211
spotify:track:2BoqN74f4uvI4WGi3AJrOP,Hum To Deewane Huye,Y-Generation,0.511,0.543,4,-11.172,1,0.0761,0.199,0.0,0.086,0.792,85.821
spotify:track:7pmNNEJcBcODkrPHEIf7Cy,Another Brick In The Wall - 2001 Remastered Version,Y-Generation,0.697,0.46,0,-12.333,1,0.0315,0.0619,0.000591,0.0884,0.783,103.909
spotify:track:5kD9T7GForh8LnRz5ClbL8,The Middle,Y-Generation,0.634,0.886,2,-3.466,1,0.0517,0.0291,0.0,0.342,0.922,161.933
spotify:track:29DCjImJlZJbCTweKtVtXd,Lets Go,Y-Generation,0.616,0.553,11,-9.94,0,0.0826,0.163,0.0127,0.111,0.544,142.111
spotify:track:4yEXem27DzCg8xytvvO3E9,Lollipop (Candyman),Y-Generation,0.716,0.981,0,-3.612,0,0.031,0.0317,0.0074,0.171,0.861,139.047
spotify:track:0YahM6TymBqCKL9QzMV1Kk,Heartbreaker (feat. Jay-Z),Y-Generation,0.685,0.819,1,-5.874,1,0.238,0.395,0.0,0.263,0.748,100.074
spotify:track:4KoNBTm9a55KgLMtEaf3n6,If You Could Only See,Y-Generation,0.433,0.946,10,-5.138,0,0.0398,0.00264,0.0,0.198,0.578,95.169
spotify:track:6lVxE1HbTGOiDPD7oBeoSr,La Isla Bonita,Y-Generation,0.705,0.755,0,-7.831,0,0.129,0.139,1.29e-05,0.14,0.437,121.985
spotify:track:6x53SJOV1PAZ8ZUwH4NFXQ,Knockin' da Boots,Y-Generation,0.726,0.501,1,-13.884,0,0.154,0.155,0.0,0.0893,0.582,128.099
spotify:track:7FoUzKTSQp25oe32pY9z5p,Be My Lover,Y-Generation,0.669,0.941,1,-5.765,0,0.0313,0.00129,4.3e-06,0.886,0.841,134.809
spotify:track:5KhypMVGqMI9mgsrrv2lxc,Deport Them,Y-Generation,0.831,0.769,8,-8.065,0,0.383,0.173,0.0,0.161,0.964,96.131
spotify:track:3uPfVXcjnpOjyzI3jb3js4,Fly,Y-Generation,0.835,0.648,1,-8.15,1,0.0488,0.0202,0.225,0.308,0.674,99.701
spotify:track:7qYQBg8ljLvLfWPOajfo6u,Common Man,Y-Generation,0.792,0.605,7,-8.008,1,0.0462,0.546,0.0,0.0439,0.899,128.789
spotify:track:4zQwQaqmC9PkT94MiNB281,Dat Sexy Body,Y-Generation,0.539,0.774,1,-7.29,1,0.418,0.033,0.0,0.0622,0.695,95.765
spotify:track:2W5acFzXf5FrktecuD30Or,One Love,Y-Generation,0.683,0.722,8,-4.039,0,0.0358,0.0243,4.2e-05,0.35,0.854,95.012
spotify:track:7DUHgTXBpKRHwBBFxUtBkx,It's Like That,Y-Generation,0.851,0.973,1,-3.116,1,0.0468,0.0134,0.271,0.288,0.629,129.069
spotify:track:3rZphn9fKKz4iFpeX08XUF,Attirambile Kombile,Y-Generation,0.741,0.369,4,-10.835,1,0.0633,0.771,6.19e-05,0.168,0.749,145.526
spotify:track:0V7Wn8Fry7KBO5stYqpFvM,Every Time I Look For You,Y-Generation,0.502,0.96,11,-2.998,1,0.0484,0.00166,0.0,0.377,0.625,128.228
spotify:track:1euDTbMNRPNfKd8zZz4zTT,Give In to Me,Y-Generation,0.502,0.855,4,-3.27,0,0.0305,0.152,0.000488,0.106,0.337,86.968
spotify:track:0FkLMOUTkSTPSAYkIXQ579,L'amour Toujours (Small Mix),Y-Generation,0.637,0.878,7,-4.449,1,0.0302,0.0775,0.0227,0.364,0.742,139.053
spotify:track:6wBMTv8yTiNh50fqTkT0JC,Everybody Everybody,Y-Generation,0.712,0.785,5,-6.418,0,0.0386,0.00363,6.95e-06,0.0878,0.975,117.643
spotify:track:30blIlMZa9Red5V7B19K5i,Mozha Mozha,Y-Generation,0.528,0.938,8,-2.855,1,0.189,0.0809,0.0052,0.162,0.817,83.399
spotify:track:4oaj36KzXRgDg4McgcTsZK,Macarena,Y-Generation,0.927,0.721,8,-12.561,1,0.0908,0.422,4.36e-05,0.0422,0.965,103.018
